LINK,ANNO,AMBIENTE (BLOG/NEWS/SITI DI PRIVATI/ENTI PUBBLICI/ACADEMIC/SOCIAL/WIKI)
https://entrepreneurseries.wordpress.com/tag/mario-costeja-gonzalez/,2014,BLOG
http://www.scribd.com/doc/246801790/Google-Spain-SL-Google-Inc-v-Agencia-Espanola-de-Proteccion-de-Datos-AEPD-Mario-Costeja-Gonzalez#scribd,2014,NEWS
http://www.technology-law-blog.co.uk/2014/05/its-over-olvidame-forget-me-google-v-costeja-gonz%C3%A1lez.html,2014,NEWS
http://www.fiercegovernmentit.com/tags/mario-costeja-gonz-lez,2014,BLOG INTERNET
http://www.wired.co.uk/news/archive/2014-05/15/tags/mario-costeja-gonzalez,2014,NEWS
http://www.cfr.org/privacy/guidelines-implementation-european-unions-judgment-google-spain-inc-v-agencia-espanola-de-proteccion-de-datos-aepd-mario-costeja-gonzalez/p33910,2014,BLOG LAWYER
http://www.vanguardia.com/actualidad/tecnologia/260100-mario-costeja-google-era-una-gran-herramienta-y-ahora-es-perfecta,2014,NEWS
http://au.ibtimes.com/articles/552592/20140515/eu-right-forgotten-google.htm#.VKwwmiuG8tQ,2014,NEWS
http://www.bustle.com/articles/34982-wikipedias-anti-right-to-be-forgotten-page-will-remember-you-if-google-forgets,2014,NEWS
http://www.newlawjournal.co.uk/nlj/content/lawyers-dismayed-over-cjeu-right-be-forgotten-ruling,2014,BLOG LAWYER
http://www.wired.it/attualita/tech/2014/05/13/google-diritto-oblio-rimouvere-link/,2014,NEWS
http://subhankarbhattacharya.com/tag/mario-costeja-gonzalez/,2014,BLOG INTERNET
http://www.magasinetparagraf.se/pod/juridikpodden-mario-costeja-gonzalez,2014,NEWS
http://www.popsci.com/article/technology/google-can-now-delete-your-past-how-much-should-be-erased,2014,NEWS
http://swarb.co.uk/google-spain-sl-v-agencia-espanola-de-proteccion-de-datos-aepd-gonzalez-ecj-13-may-2014/,2014,NEWS
http://www.newlawjournal.co.uk/nlj/content/lawyers-dismayed-over-cjeu-right-be-forgotten-ruling,2014,BLOG LAWYER
http://www.fiercegovernmentit.com/tags/mario-costeja-gonz-lez,2013,BLOG LAWYER
http://issuesinnigerianmarketingcommunicatio.blogspot.it/2014/06/the-right-to-be-forgotten-mario-costeja.html,2014,BLOG LAWYER
http://ukhumanrightsblog.com/2013/07/01/there-is-no-right-to-be-forgotten-by-internet-search-engines/,2014,BLOG LAWYER
http://junon.univ-cezanne.fr/u3iredic/?p=15921,2014,BLOG LAWYER
http://www.smh.com.au/comment/charles-waterstreet-the-law-is-full-of-ironies--the-more-privacy-we-seek-the-more-that-is-seen--take-barbara-streisand-20141018-117u0w.html,2014,NEWS
http://time.com/100553/you-have-the-right-to-be-forgotten/,2014,NEWS
