ID;query;link;titlepaper;speaker;pointofview;opinion;proposal;main label
37;"Warrantless + ""mass surveillance""";http://works.bepress.com/cgi/viewcontent.cgi?params=/context/james_mariani/article/1000/type/native/&path_info=;GPS TRACKING DEVICES AND FACIAL RECOGNITION TECHNOLOGY: A COMPARATIVE ANALYSIS OF JONES’S EFFECT ON LAW ENFORCEMENT’S FUTURE USE OF SURVEILLANCE-ENHANCING TECHNOLOGY;James Mariani;law;neutral;_;warrantless surveillance
38;"Warrantless + ""mass surveillance""";http://link.springer.com/article/10.1007/s12103-012-9185-z#page-1;Police GPS Surveillance on Vehicles and the Warrant Requirement: “For a While I’ve Been Watching You Steady”;Tom “Tad” Hughes;law;;case law;
39;"Warrantless + ""mass surveillance""";https://www.ideals.illinois.edu/bitstream/handle/2142/47305/119_ready.pdf?sequence=2;NSA Surveillance: Exploring the Geographies of Internet Interception;Andrew Clement;technical;surveillance practicies are illegal;to review the cloud system;american surveillance programmes
40;"Warrantless + ""mass surveillance""";https://comm526surveillanceproject.wordpress.com/2014/04/22/the-evolution-of-u-s-surveillance-law/;The Evolution of U.S. Surveillance Law;ASC Surveillance Project;civil liberties;neutral;_;privacy vs security
41;"Warrantless + ""mass surveillance""";http://works.bepress.com/cgi/viewcontent.cgi?article=1027&context=arthur_lefrancois;Global Positioning System Technology and the Fourth Amendment;Arthur G. LeFrancois;law;surveillance is necessary but;balance between privacy and security;privacy vs security
42;"Warrantless + ""mass surveillance""";http://www.diva-portal.org/smash/get/diva2:578157/FULLTEXT01.pdf;The Chilling Effect of Counter-Terrorism Measures: A Comparative Analysis of Electronic Surveillance Laws in Europe and the USA;Elisabet Fura;law;surveillance practicies are illegal;they should consider also eu laws,  not only us;us vs eu
43;"Warrantless + ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2524653;Lawful Illegality: What Snowden Has Taught Us About the Legal Infrastructure of the Surveillance State;Lisa M. Austin;law;surveillance is necessary but;to create  a lawfull system;american surveillance programmes
44;"Warrantless + ""mass surveillance""";http://lawdigitalcommons.bc.edu/cgi/viewcontent.cgi?article=3181&context=bclr&sei-redir=1&referer=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fstart%3D20%26q%3Dwarrantless%252B%2522mass%2Bsurveillance%2522%26hl%3Den%26as_sdt%3D0%2C5%26as_vis%3D1#search=%22warrantless%2Bmass%20surveillance%22;Time for the Court to Become Intimate with Surveillance Technology;Eli R. Shindelman;law;surveillance is necessary but;the gov should have a warrant;american surveillance programmes
45;"Warrantless + ""mass surveillance""";http://illinoisjltp.com/journal/wp-content/uploads/2013/10/Rushin.pdf;THE JUDICIAL RESPONS E TO MASS POLICE SURVEILLANCE;Stephen Rushin;law;against surveillance;laws have to be revisited;american surveillance programmes
46;"tech giant ""mass surveillance""";http://www.theguardian.com/world/2014/jan/16/nsa-collects-millions-text-messages-daily-untargeted-global-sweep;NSA collects millions of text messages daily in 'untargeted' global sweep;James Ball ;civil liberties;surveillance is necessary but;S spy agencies should pay more consideration to the privacy rights of foreigners;Dishfire
